ticket_id,customer_id,issue_type,priority,resolution,days_to_resolve,satisfaction_after
TKT-200043,CUST-10027,Feature Request,Low,Closed,14,5
TKT-200044,CUST-10027,Technical Problem,Low,Closed,12,9
TKT-200045,CUST-10027,Account Issue,Low,Resolved,9,4
TKT-200046,CUST-10028,Billing Issue,Low,Pending,14,2
TKT-200047,CUST-10028,Speed Problem,Medium,Closed,13,10
TKT-200048,CUST-10029,Service Outage,Medium,Escalated,12,1
TKT-200049,CUST-10029,Login Issue,High,Pending,11,9
TKT-200050,CUST-10029,Login Issue,High,Escalated,14,3
TKT-200051,CUST-10029,Service Outage,High,Pending,9,6
TKT-200052,CUST-10030,Feature Request,High,Closed,4,4
TKT-200053,CUST-10031,Account Issue,High,Resolved,13,2
TKT-200054,CUST-10031,Cancellation Request,Low,Escalated,8,2
TKT-200055,CUST-10031,Feature Request,High,Closed,11,8
TKT-200056,CUST-10032,Cancellation Request,Low,Resolved,9,4
TKT-200057,CUST-10032,Billing Issue,Medium,Resolved,7,8
TKT-200058,CUST-10033,Feature Request,High,Closed,3,9
TKT-200059,CUST-10033,Cancellation Request,Low,Escalated,8,5
TKT-200060,CUST-10033,Feature Request,High,Escalated,7,10
TKT-200061,CUST-10034,Technical Problem,High,Closed,11,1
TKT-200062,CUST-10034,Service Outage,Low,Closed,1,9
TKT-200063,CUST-10034,Feature Request,High,Pending,2,5
TKT-200064,CUST-10035,Speed Problem,Low,Escalated,3,8
TKT-200065,CUST-10036,Speed Problem,High,Resolved,10,5
TKT-200066,CUST-10036,Cancellation Request,Low,Escalated,11,7
TKT-200067,CUST-10036,Speed Problem,Medium,Escalated,11,7
TKT-200068,CUST-10037,Login Issue,High,Resolved,2,3
TKT-200069,CUST-10037,Feature Request,High,Pending,11,10
TKT-200070,CUST-10037,Technical Problem,High,Resolved,3,4
TKT-200071,CUST-10040,Technical Problem,Low,Pending,13,3
TKT-200072,CUST-10040,Login Issue,Low,Escalated,10,1
TKT-200073,CUST-10041,Technical Problem,Medium,Pending,14,2
TKT-200074,CUST-10042,Login Issue,Medium,Escalated,13,9
TKT-200075,CUST-10042,Billing Issue,High,Resolved,13,4
TKT-200076,CUST-10042,Feature Request,Low,Pending,2,5
TKT-200077,CUST-10043,Speed Problem,High,Pending,6,2
TKT-200078,CUST-10044,Billing Issue,High,Escalated,2,2
TKT-200079,CUST-10044,Account Issue,Medium,Pending,10,7
TKT-200080,CUST-10045,Account Issue,Low,Escalated,14,4
TKT-200081,CUST-10045,Technical Problem,High,Closed,7,2
TKT-200082,CUST-10045,Billing Issue,Medium,Pending,1,7
TKT-200083,CUST-10046,Login Issue,Medium,Pending,7,9
TKT-200084,CUST-10047,Feature Request,Low,Closed,11,7
TKT-200085,CUST-10048,Feature Request,Medium,Pending,1,4
TKT-200086,CUST-10048,Technical Problem,Medium,Pending,14,5
TKT-200087,CUST-10049,Cancellation Request,High,Closed,14,1
TKT-200088,CUST-10049,Speed Problem,High,Closed,13,1
TKT-200089,CUST-10049,Technical Problem,Low,Closed,5,3
TKT-200090,CUST-10050,Login Issue,High,Pending,3,9
TKT-200091,CUST-10050,Cancellation Request,High,Resolved,4,1
TKT-200092,CUST-10051,Billing Issue,High,Escalated,4,3
TKT-200093,CUST-10051,Technical Problem,Low,Pending,4,8
TKT-200094,CUST-10051,Service Outage,Low,Escalated,7,2
TKT-200095,CUST-10053,Login Issue,Medium,Resolved,3,2
TKT-200096,CUST-10054,Billing Issue,Medium,Pending,1,4
TKT-200097,CUST-10054,Login Issue,Medium,Closed,8,3
TKT-200098,CUST-10055,Billing Issue,High,Closed,10,8
TKT-200099,CUST-10056,Billing Issue,High,Resolved,9,2
TKT-200100,CUST-10056,Service Outage,Medium,Resolved,6,8
TKT-200101,CUST-10056,Billing Issue,Medium,Closed,6,10
TKT-200102,CUST-10057,Speed Problem,Medium,Resolved,4,10
TKT-200103,CUST-10058,Technical Problem,High,Pending,1,5
TKT-200104,CUST-10058,Billing Issue,Medium,Escalated,7,9
TKT-200105,CUST-10058,Login Issue,Medium,Resolved,3,2
TKT-200106,CUST-10058,Service Outage,High,Closed,12,10
TKT-200107,CUST-10060,Feature Request,Medium,Resolved,3,4
TKT-200108,CUST-10061,Service Outage,Medium,Escalated,3,9
TKT-200109,CUST-10061,Cancellation Request,Medium,Resolved,14,8
TKT-200110,CUST-10061,Account Issue,Medium,Escalated,5,8
TKT-200111,CUST-10062,Service Outage,Medium,Escalated,3,1
TKT-200112,CUST-10062,Speed Problem,Medium,Escalated,14,10
TKT-200113,CUST-10062,Speed Problem,Low,Pending,6,6
TKT-200114,CUST-10063,Feature Request,High,Escalated,11,5
TKT-200115,CUST-10063,Cancellation Request,Medium,Escalated,10,5
TKT-200116,CUST-10064,Feature Request,High,Escalated,13,5
TKT-200117,CUST-10064,Speed Problem,High,Pending,4,6
TKT-200118,CUST-10064,Login Issue,Low,Escalated,12,2
TKT-200119,CUST-10065,Technical Problem,High,Resolved,13,8
TKT-200120,CUST-10065,Login Issue,Medium,Escalated,1,3
TKT-200121,CUST-10065,Speed Problem,Low,Escalated,2,4
TKT-200122,CUST-10065,Cancellation Request,Medium,Closed,6,7
TKT-200123,CUST-10067,Billing Issue,Medium,Closed,9,4
TKT-200124,CUST-10067,Service Outage,Low,Closed,14,9
TKT-200125,CUST-10068,Cancellation Request,Medium,Escalated,13,6
TKT-200126,CUST-10068,Technical Problem,Medium,Resolved,4,1
TKT-200127,CUST-10069,Speed Problem,High,Escalated,13,2
TKT-200128,CUST-10069,Login Issue,Medium,Escalated,11,9
TKT-200129,CUST-10071,Feature Request,Low,Resolved,7,10
TKT-200130,CUST-10071,Feature Request,Low,Resolved,8,8
TKT-200131,CUST-10071,Account Issue,Low,Closed,8,4
TKT-200132,CUST-10072,Technical Problem,High,Closed,4,10
TKT-200133,CUST-10072,Technical Problem,Medium,Escalated,8,6
TKT-200134,CUST-10072,Feature Request,Medium,Closed,5,3
TKT-200135,CUST-10073,Account Issue,High,Escalated,14,2
TKT-200136,CUST-10074,Service Outage,Medium,Pending,14,7
TKT-200137,CUST-10075,Login Issue,Low,Escalated,14,9
TKT-200138,CUST-10075,Speed Problem,High,Resolved,5,7
TKT-200139,CUST-10075,Cancellation Request,High,Resolved,4,2
TKT-200140,CUST-10075,Account Issue,High,Closed,1,9
TKT-200141,CUST-10075,Login Issue,Low,Closed,9,10
TKT-200142,CUST-10075,Technical Problem,High,Resolved,11,6
TKT-200143,CUST-10077,Speed Problem,Medium,Closed,13,8
TKT-200144,CUST-10077,Cancellation Request,Low,Escalated,2,10
TKT-200145,CUST-10077,Speed Problem,Low,Escalated,3,7
TKT-200146,CUST-10078,Speed Problem,High,Closed,8,9
TKT-200147,CUST-10078,Speed Problem,Low,Escalated,8,5
TKT-200148,CUST-10078,Login Issue,Medium,Resolved,8,2
TKT-200149,CUST-10079,Login Issue,High,Pending,14,4
TKT-200150,CUST-10080,Speed Problem,Low,Resolved,14,9
TKT-200151,CUST-10080,Technical Problem,High,Pending,10,8
TKT-200152,CUST-10080,Cancellation Request,High,Pending,4,1
TKT-200153,CUST-10080,Service Outage,Medium,Escalated,12,7
TKT-200154,CUST-10081,Feature Request,High,Escalated,9,2
TKT-200155,CUST-10081,Service Outage,Low,Pending,11,7
TKT-200156,CUST-10081,Speed Problem,Medium,Escalated,8,9
TKT-200157,CUST-10081,Service Outage,Medium,Pending,8,6
TKT-200158,CUST-10083,Login Issue,High,Pending,1,1
TKT-200159,CUST-10085,Account Issue,Low,Pending,7,4
TKT-200160,CUST-10085,Billing Issue,Medium,Pending,8,4
TKT-200161,CUST-10086,Feature Request,Low,Escalated,13,5
TKT-200162,CUST-10087,Service Outage,Medium,Closed,2,4
TKT-200163,CUST-10087,Billing Issue,Medium,Escalated,7,7
TKT-200164,CUST-10087,Cancellation Request,Medium,Closed,14,8
TKT-200165,CUST-10087,Account Issue,Medium,Resolved,7,2
TKT-200166,CUST-10088,Speed Problem,Medium,Escalated,9,3
TKT-200167,CUST-10088,Login Issue,Low,Closed,5,7
TKT-200168,CUST-10089,Cancellation Request,Medium,Escalated,3,3
TKT-200169,CUST-10089,Service Outage,High,Closed,6,6
TKT-200170,CUST-10089,Feature Request,Medium,Pending,13,5
TKT-200171,CUST-10089,Technical Problem,Low,Escalated,12,8
TKT-200172,CUST-10089,Cancellation Request,Medium,Resolved,14,7
TKT-200173,CUST-10090,Speed Problem,Low,Closed,6,9
TKT-200174,CUST-10090,Billing Issue,High,Escalated,14,9
TKT-200175,CUST-10091,Cancellation Request,Low,Closed,6,4
TKT-200176,CUST-10093,Cancellation Request,Low,Resolved,13,4
TKT-200177,CUST-10097,Feature Request,Medium,Closed,13,5
TKT-200178,CUST-10098,Account Issue,High,Escalated,14,6
TKT-200179,CUST-10098,Service Outage,Low,Escalated,4,6
TKT-200180,CUST-10099,Cancellation Request,High,Pending,9,9
TKT-200181,CUST-10099,Billing Issue,Low,Closed,5,1
TKT-200182,CUST-10100,Account Issue,Low,Pending,9,10
TKT-200183,CUST-10101,Login Issue,High,Resolved,2,1
TKT-200184,CUST-10101,Login Issue,Medium,Resolved,12,5
TKT-200185,CUST-10103,Login Issue,Low,Pending,13,7
TKT-200186,CUST-10104,Billing Issue,Low,Resolved,6,8
TKT-200187,CUST-10105,Speed Problem,High,Resolved,5,3
TKT-200188,CUST-10105,Billing Issue,Medium,Pending,6,10
TKT-200189,CUST-10107,Service Outage,High,Escalated,1,1
TKT-200190,CUST-10107,Billing Issue,Low,Escalated,14,1
TKT-200191,CUST-10107,Speed Problem,Low,Closed,10,4
TKT-200192,CUST-10110,Account Issue,High,Closed,12,7
TKT-200193,CUST-10110,Speed Problem,High,Closed,14,8
TKT-200194,CUST-10111,Billing Issue,High,Closed,6,10
TKT-200195,CUST-10111,Feature Request,Medium,Pending,14,6
TKT-200196,CUST-10111,Speed Problem,Medium,Closed,12,1
TKT-200197,CUST-10112,Technical Problem,Low,Closed,7,7
TKT-200198,CUST-10113,Billing Issue,Low,Escalated,4,10
TKT-200199,CUST-10114,Feature Request,Medium,Escalated,2,8
TKT-200200,CUST-10114,Billing Issue,High,Resolved,7,10
TKT-200201,CUST-10114,Feature Request,High,Pending,12,9
TKT-200202,CUST-10115,Feature Request,Low,Escalated,8,10
TKT-200203,CUST-10115,Speed Problem,Medium,Closed,12,3
TKT-200204,CUST-10115,Feature Request,High,Pending,14,7
TKT-200205,CUST-10117,Cancellation Request,Medium,Pending,11,3
TKT-200206,CUST-10118,Speed Problem,Low,Pending,4,4
TKT-200207,CUST-10118,Feature Request,Medium,Resolved,8,6
TKT-200208,CUST-10118,Speed Problem,High,Escalated,8,8
TKT-200209,CUST-10119,Billing Issue,Medium,Resolved,13,4
TKT-200210,CUST-10121,Feature Request,Low,Resolved,5,9
TKT-200211,CUST-10121,Technical Problem,Low,Resolved,7,4
TKT-200212,CUST-10121,Speed Problem,Low,Resolved,2,8
TKT-200213,CUST-10122,Cancellation Request,Medium,Closed,11,7
TKT-200214,CUST-10122,Technical Problem,Low,Escalated,4,6
TKT-200215,CUST-10122,Service Outage,Medium,Resolved,10,4
TKT-200216,CUST-10123,Account Issue,Low,Escalated,9,2
TKT-200217,CUST-10123,Cancellation Request,Medium,Resolved,5,9
TKT-200218,CUST-10124,Login Issue,High,Pending,4,2
TKT-200219,CUST-10124,Speed Problem,Low,Pending,10,10
TKT-200220,CUST-10124,Cancellation Request,Low,Resolved,11,5
TKT-200221,CUST-10124,Login Issue,High,Closed,3,1
TKT-200222,CUST-10125,Technical Problem,High,Closed,8,1
TKT-200223,CUST-10125,Technical Problem,High,Resolved,8,9
TKT-200224,CUST-10126,Login Issue,Medium,Resolved,9,1
TKT-200225,CUST-10128,Technical Problem,Low,Escalated,14,9
TKT-200226,CUST-10128,Login Issue,High,Closed,9,9
TKT-200227,CUST-10128,Billing Issue,High,Escalated,9,5
TKT-200228,CUST-10129,Account Issue,High,Escalated,6,5
TKT-200229,CUST-10130,Billing Issue,Low,Pending,14,7
TKT-200230,CUST-10130,Technical Problem,Medium,Escalated,5,7
TKT-200231,CUST-10130,Technical Problem,Low,Escalated,1,7
TKT-200232,CUST-10130,Service Outage,High,Escalated,6,10
TKT-200233,CUST-10131,Feature Request,Medium,Escalated,1,10
TKT-200234,CUST-10132,Account Issue,High,Pending,12,8
TKT-200235,CUST-10135,Service Outage,Medium,Resolved,5,8
TKT-200236,CUST-10138,Login Issue,Low,Escalated,14,6
TKT-200237,CUST-10139,Cancellation Request,Low,Pending,9,1
TKT-200238,CUST-10139,Speed Problem,Low,Escalated,10,10
TKT-200239,CUST-10139,Account Issue,Medium,Escalated,5,1
TKT-200240,CUST-10140,Speed Problem,High,Resolved,13,7
TKT-200241,CUST-10140,Account Issue,Medium,Pending,3,7
TKT-200242,CUST-10140,Account Issue,Low,Escalated,2,4
TKT-200243,CUST-10140,Service Outage,Low,Closed,2,4
TKT-200244,CUST-10140,Feature Request,Low,Resolved,7,3
TKT-200245,CUST-10141,Login Issue,High,Resolved,5,10
TKT-200246,CUST-10141,Technical Problem,Medium,Pending,6,7
TKT-200247,CUST-10141,Service Outage,Low,Closed,8,9
TKT-200248,CUST-10141,Billing Issue,Low,Resolved,8,6
TKT-200249,CUST-10144,Account Issue,Medium,Escalated,11,8
TKT-200250,CUST-10144,Login Issue,Low,Resolved,6,4
TKT-200251,CUST-10144,Speed Problem,Low,Pending,1,5
TKT-200252,CUST-10144,Cancellation Request,Low,Closed,1,9
TKT-200253,CUST-10144,Login Issue,High,Closed,3,10
TKT-200254,CUST-10145,Login Issue,Low,Resolved,12,7
TKT-200255,CUST-10146,Cancellation Request,Medium,Pending,4,1
TKT-200256,CUST-10147,Speed Problem,High,Resolved,1,5
TKT-200257,CUST-10148,Login Issue,Medium,Escalated,2,6
TKT-200258,CUST-10148,Feature Request,Low,Escalated,14,10
TKT-200259,CUST-10148,Billing Issue,Low,Escalated,1,9
TKT-200260,CUST-10150,Feature Request,High,Resolved,9,9
TKT-200261,CUST-10150,Service Outage,High,Pending,8,8
TKT-200262,CUST-10151,Billing Issue,High,Escalated,2,3
TKT-200263,CUST-10152,Login Issue,Medium,Pending,12,9
TKT-200264,CUST-10152,Login Issue,High,Resolved,1,9
TKT-200265,CUST-10154,Feature Request,High,Pending,12,8
TKT-200266,CUST-10154,Technical Problem,Low,Escalated,1,2
TKT-200267,CUST-10155,Account Issue,Low,Closed,8,7
TKT-200268,CUST-10156,Cancellation Request,High,Pending,10,3
TKT-200269,CUST-10156,Technical Problem,Low,Escalated,9,5
TKT-200270,CUST-10157,Login Issue,Low,Pending,3,3
TKT-200271,CUST-10159,Speed Problem,High,Closed,1,6
TKT-200272,CUST-10160,Feature Request,High,Resolved,12,3
TKT-200273,CUST-10160,Speed Problem,High,Closed,12,1
TKT-200274,CUST-10160,Account Issue,Low,Escalated,4,5
TKT-200275,CUST-10160,Cancellation Request,High,Pending,12,5
TKT-200276,CUST-10160,Billing Issue,Medium,Closed,11,6
TKT-200277,CUST-10161,Technical Problem,High,Resolved,10,2
TKT-200278,CUST-10161,Technical Problem,High,Resolved,6,9
TKT-200279,CUST-10161,Billing Issue,Medium,Escalated,14,9
TKT-200280,CUST-10161,Technical Problem,High,Resolved,6,3
TKT-200281,CUST-10161,Feature Request,Low,Resolved,5,7
TKT-200282,CUST-10163,Login Issue,Low,Resolved,11,2
TKT-200283,CUST-10163,Feature Request,High,Pending,4,10
TKT-200284,CUST-10163,Feature Request,Low,Closed,14,1
TKT-200285,CUST-10163,Cancellation Request,Medium,Pending,7,9
TKT-200286,CUST-10164,Speed Problem,Medium,Escalated,2,6
TKT-200287,CUST-10164,Service Outage,High,Closed,7,2
TKT-200288,CUST-10164,Cancellation Request,Low,Escalated,10,1
TKT-200289,CUST-10164,Feature Request,Medium,Escalated,6,8
TKT-200290,CUST-10164,Feature Request,Medium,Closed,1,1
TKT-200291,CUST-10165,Feature Request,Medium,Closed,9,7
TKT-200292,CUST-10167,Account Issue,Medium,Closed,9,8
TKT-200293,CUST-10167,Billing Issue,High,Resolved,10,3
TKT-200294,CUST-10167,Login Issue,High,Pending,5,6
TKT-200295,CUST-10168,Service Outage,Medium,Resolved,4,2
TKT-200296,CUST-10169,Technical Problem,High,Closed,4,6
TKT-200297,CUST-10169,Account Issue,Medium,Resolved,6,8
TKT-200298,CUST-10170,Service Outage,Medium,Resolved,6,2
TKT-200299,CUST-10170,Billing Issue,Low,Closed,8,7
TKT-200300,CUST-10170,Feature Request,Low,Closed,11,9
TKT-200301,CUST-10170,Service Outage,Medium,Resolved,11,9
TKT-200302,CUST-10170,Service Outage,High,Closed,11,10
TKT-200303,CUST-10171,Speed Problem,Medium,Resolved,2,1
TKT-200304,CUST-10171,Billing Issue,Medium,Escalated,8,6
TKT-200305,CUST-10171,Login Issue,High,Escalated,1,3
TKT-200306,CUST-10171,Billing Issue,High,Pending,12,6
TKT-200307,CUST-10172,Login Issue,Medium,Resolved,1,8
TKT-200308,CUST-10173,Login Issue,Medium,Closed,4,8
TKT-200309,CUST-10173,Account Issue,Low,Pending,6,9
TKT-200310,CUST-10174,Service Outage,High,Closed,7,9
TKT-200311,CUST-10174,Billing Issue,Low,Pending,7,3
TKT-200312,CUST-10174,Technical Problem,High,Pending,6,5
TKT-200313,CUST-10175,Technical Problem,High,Pending,3,6
TKT-200314,CUST-10175,Account Issue,High,Pending,10,10
TKT-200315,CUST-10175,Cancellation Request,High,Escalated,14,2
TKT-200316,CUST-10177,Speed Problem,High,Closed,1,2
TKT-200317,CUST-10177,Feature Request,High,Resolved,9,7
TKT-200318,CUST-10177,Service Outage,Medium,Resolved,11,5
TKT-200319,CUST-10177,Service Outage,High,Resolved,3,2
TKT-200320,CUST-10177,Cancellation Request,High,Escalated,13,9
TKT-200321,CUST-10178,Billing Issue,Medium,Closed,4,4
TKT-200322,CUST-10178,Cancellation Request,Medium,Resolved,5,10
TKT-200323,CUST-10178,Login Issue,High,Escalated,9,6
TKT-200324,CUST-10178,Cancellation Request,Medium,Pending,2,10
TKT-200325,CUST-10180,Billing Issue,High,Pending,13,7
TKT-200326,CUST-10181,Login Issue,Medium,Resolved,6,8
TKT-200327,CUST-10181,Login Issue,High,Closed,14,10
TKT-200328,CUST-10181,Cancellation Request,Low,Closed,7,5
TKT-200329,CUST-10181,Login Issue,Medium,Resolved,14,6
TKT-200330,CUST-10181,Account Issue,High,Escalated,8,1
TKT-200331,CUST-10182,Billing Issue,High,Resolved,12,3
TKT-200332,CUST-10182,Service Outage,Medium,Closed,11,6
TKT-200333,CUST-10184,Technical Problem,High,Escalated,13,4
TKT-200334,CUST-10185,Speed Problem,High,Escalated,7,7
TKT-200335,CUST-10185,Service Outage,Medium,Escalated,10,5
TKT-200336,CUST-10186,Cancellation Request,High,Escalated,13,2
TKT-200337,CUST-10186,Billing Issue,Medium,Closed,8,3
TKT-200338,CUST-10187,Service Outage,Low,Closed,13,6
TKT-200339,CUST-10187,Speed Problem,Low,Pending,8,6
TKT-200340,CUST-10188,Billing Issue,Low,Resolved,2,2
TKT-200341,CUST-10188,Login Issue,Medium,Escalated,13,8
TKT-200342,CUST-10188,Billing Issue,Low,Resolved,3,7
TKT-200343,CUST-10188,Login Issue,High,Resolved,3,10
TKT-200344,CUST-10189,Technical Problem,High,Escalated,13,3
TKT-200345,CUST-10190,Speed Problem,Low,Resolved,5,1
TKT-200346,CUST-10191,Service Outage,Low,Closed,7,3
TKT-200347,CUST-10191,Service Outage,Medium,Pending,10,5
TKT-200348,CUST-10191,Technical Problem,Medium,Resolved,4,8
TKT-200349,CUST-10191,Account Issue,Low,Escalated,14,7
TKT-200350,CUST-10192,Service Outage,Low,Escalated,8,2
TKT-200351,CUST-10194,Speed Problem,Medium,Pending,2,8
TKT-200352,CUST-10194,Login Issue,High,Closed,9,6
TKT-200353,CUST-10194,Technical Problem,Low,Escalated,4,4
TKT-200354,CUST-10195,Cancellation Request,Medium,Escalated,11,10
TKT-200355,CUST-10195,Service Outage,Medium,Escalated,9,9
TKT-200356,CUST-10195,Login Issue,Medium,Resolved,2,6
TKT-200357,CUST-10195,Account Issue,Low,Closed,3,7
TKT-200358,CUST-10196,Account Issue,Low,Resolved,1,7
TKT-200359,CUST-10198,Feature Request,High,Escalated,8,5
TKT-200360,CUST-10200,Billing Issue,Low,Closed,4,9
TKT-200361,CUST-10200,Service Outage,Medium,Escalated,2,5
TKT-200362,CUST-10200,Login Issue,High,Escalated,3,4
TKT-200363,CUST-10201,Service Outage,Low,Resolved,5,9
TKT-200364,CUST-10201,Account Issue,Low,Escalated,9,9
TKT-200365,CUST-10201,Cancellation Request,Low,Pending,13,5
TKT-200366,CUST-10201,Feature Request,Low,Closed,3,3
TKT-200367,CUST-10202,Billing Issue,High,Pending,11,10
TKT-200368,CUST-10202,Feature Request,Low,Pending,13,5
TKT-200369,CUST-10202,Feature Request,Medium,Pending,1,1
TKT-200370,CUST-10202,Billing Issue,High,Closed,10,8
TKT-200371,CUST-10202,Feature Request,Medium,Pending,2,5
TKT-200372,CUST-10204,Login Issue,High,Escalated,5,6
TKT-200373,CUST-10205,Service Outage,Medium,Escalated,12,5
TKT-200374,CUST-10205,Account Issue,Low,Pending,7,6
TKT-200375,CUST-10205,Login Issue,Low,Resolved,3,10
TKT-200376,CUST-10205,Login Issue,Low,Resolved,14,3
TKT-200377,CUST-10206,Billing Issue,Medium,Resolved,6,9
TKT-200378,CUST-10207,Cancellation Request,High,Closed,14,8
TKT-200379,CUST-10207,Billing Issue,Medium,Resolved,3,10
TKT-200380,CUST-10207,Feature Request,Medium,Resolved,2,7
TKT-200381,CUST-10207,Login Issue,High,Escalated,1,2
TKT-200382,CUST-10208,Feature Request,Medium,Closed,5,3
TKT-200383,CUST-10208,Service Outage,Low,Closed,6,1
TKT-200384,CUST-10209,Service Outage,Medium,Closed,1,8
TKT-200385,CUST-10209,Feature Request,Medium,Resolved,4,2
TKT-200386,CUST-10209,Billing Issue,Low,Closed,11,9
TKT-200387,CUST-10209,Login Issue,Low,Closed,5,5
TKT-200388,CUST-10209,Login Issue,Low,Pending,2,6
TKT-200389,CUST-10209,Technical Problem,High,Resolved,1,9
TKT-200390,CUST-10210,Service Outage,Low,Escalated,4,8
TKT-200391,CUST-10210,Login Issue,Low,Closed,3,9
TKT-200392,CUST-10212,Account Issue,Medium,Resolved,13,10
TKT-200393,CUST-10212,Login Issue,High,Pending,7,4
TKT-200394,CUST-10212,Feature Request,Medium,Resolved,6,10
TKT-200395,CUST-10213,Service Outage,Medium,Closed,1,7
TKT-200396,CUST-10213,Technical Problem,High,Resolved,8,6
TKT-200397,CUST-10213,Cancellation Request,High,Escalated,9,5
TKT-200398,CUST-10213,Service Outage,Low,Pending,1,9
TKT-200399,CUST-10214,Account Issue,Low,Escalated,13,10
TKT-200400,CUST-10214,Speed Problem,High,Escalated,9,2
TKT-200401,CUST-10215,Feature Request,Medium,Escalated,12,5
TKT-200402,CUST-10217,Billing Issue,High,Resolved,9,3
TKT-200403,CUST-10217,Speed Problem,Medium,Resolved,12,8
TKT-200404,CUST-10217,Billing Issue,High,Pending,3,1
TKT-200405,CUST-10218,Cancellation Request,Medium,Pending,1,3
TKT-200406,CUST-10218,Login Issue,Low,Pending,4,9
TKT-200407,CUST-10219,Speed Problem,High,Pending,6,4
TKT-200408,CUST-10219,Account Issue,Low,Resolved,5,7
TKT-200409,CUST-10220,Feature Request,High,Pending,14,8
TKT-200410,CUST-10220,Account Issue,Medium,Pending,3,7
TKT-200411,CUST-10220,Speed Problem,Medium,Escalated,14,6
TKT-200412,CUST-10221,Service Outage,High,Pending,4,7
TKT-200413,CUST-10221,Technical Problem,Low,Closed,13,3
TKT-200414,CUST-10221,Speed Problem,Medium,Escalated,10,6
TKT-200415,CUST-10222,Account Issue,Low,Closed,13,5
TKT-200416,CUST-10224,Account Issue,Low,Closed,7,5
TKT-200417,CUST-10225,Speed Problem,High,Pending,8,10
TKT-200418,CUST-10225,Account Issue,Medium,Closed,3,5
TKT-200419,CUST-10225,Speed Problem,Medium,Escalated,9,7
TKT-200420,CUST-10225,Service Outage,Medium,Escalated,11,9
TKT-200421,CUST-10225,Feature Request,High,Resolved,6,10
TKT-200422,CUST-10226,Technical Problem,Medium,Escalated,14,10
TKT-200423,CUST-10227,Speed Problem,Low,Resolved,3,4
TKT-200424,CUST-10227,Technical Problem,Low,Resolved,5,8
TKT-200425,CUST-10228,Feature Request,High,Escalated,5,1
TKT-200426,CUST-10229,Billing Issue,Low,Resolved,8,2
TKT-200427,CUST-10230,Billing Issue,Medium,Escalated,1,6
TKT-200428,CUST-10230,Cancellation Request,Medium,Pending,13,10
TKT-200429,CUST-10230,Cancellation Request,High,Escalated,12,7
TKT-200430,CUST-10230,Service Outage,High,Closed,13,10
TKT-200431,CUST-10232,Service Outage,High,Escalated,4,9
TKT-200432,CUST-10232,Speed Problem,High,Closed,5,2
